Project,Dependency,FilePath,Size
spoon,jackson-annotations-2.13.4.jar,results/spoon/original/compile-scope-dependencies/dependency/jackson-annotations-2.13.4.jar,75717
spoon,org.eclipse.sisu.inject-0.3.5.jar,results/spoon/original/compile-scope-dependencies/dependency/org.eclipse.sisu.inject-0.3.5.jar,379348
spoon,maven-model-4.0.0-alpha-2.jar,results/spoon/original/compile-scope-dependencies/dependency/maven-model-4.0.0-alpha-2.jar,299372
spoon,jackson-databind-2.13.4.2.jar,results/spoon/original/compile-scope-dependencies/dependency/jackson-databind-2.13.4.2.jar,1531681
spoon,maven-shared-utils-3.3.4.jar,results/spoon/original/compile-scope-dependencies/dependency/maven-shared-utils-3.3.4.jar,153143
spoon,org.eclipse.sisu.plexus-0.3.5.jar,results/spoon/original/compile-scope-dependencies/dependency/org.eclipse.sisu.plexus-0.3.5.jar,205307
spoon,commons-lang3-3.12.0.jar,results/spoon/original/compile-scope-dependencies/dependency/commons-lang3-3.12.0.jar,587402
spoon,plexus-classworlds-2.5.2.jar,results/spoon/original/compile-scope-dependencies/dependency/plexus-classworlds-2.5.2.jar,52684
spoon,org.eclipse.jdt.core-3.31.0.jar,results/spoon/original/compile-scope-dependencies/dependency/org.eclipse.jdt.core-3.31.0.jar,7031186
spoon,javax.inject-1.jar,results/spoon/original/compile-scope-dependencies/dependency/javax.inject-1.jar,2497
para,jackson-core-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-core-2.14.0-rc2.jar,458060
para,javax.el-api-3.0.1-b06.jar,results/para/para-core/original/compile-scope-dependencies/dependency/javax.el-api-3.0.1-b06.jar,78743
para,javax.el-2.2.6.jar,results/para/para-core/original/compile-scope-dependencies/dependency/javax.el-2.2.6.jar,117461
para,slf4j-api-1.7.36.jar,results/para/para-core/original/compile-scope-dependencies/dependency/slf4j-api-1.7.36.jar,41125
para,sslcontext-kickstart-7.4.7.jar,results/para/para-core/original/compile-scope-dependencies/dependency/sslcontext-kickstart-7.4.7.jar,118551
para,flexmark-util-options-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-options-0.64.0.jar,11847
para,flexmark-util-collection-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-collection-0.64.0.jar,66777
para,flexmark-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-0.64.0.jar,445839
para,flexmark-util-html-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-html-0.64.0.jar,55535
para,commons-io-2.11.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/commons-io-2.11.0.jar,327135
para,config-1.4.2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/config-1.4.2.jar,295444
para,sdk-core-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/sdk-core-2.18.32.jar,778515
para,flexmark-ext-media-tags-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-ext-media-tags-0.64.0.jar,20052
para,annotations-15.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/annotations-15.0.jar,18614
para,logback-core-1.2.11.jar,results/para/para-core/original/compile-scope-dependencies/dependency/logback-core-1.2.11.jar,448764
para,flexmark-ext-tables-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-ext-tables-0.64.0.jar,47476
para,flexmark-util-builder-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-builder-0.64.0.jar,5247
para,jakarta.inject-api-1.0.5.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jakarta.inject-api-1.0.5.jar,10860
para,jackson-datatype-jdk8-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-datatype-jdk8-2.14.0-rc2.jar,35246
para,jackson-dataformat-cbor-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-dataformat-cbor-2.14.0-rc2.jar,64017
para,flexmark-ext-autolink-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-ext-autolink-0.64.0.jar,9715
para,third-party-jackson-core-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/third-party-jackson-core-2.18.32.jar,390084
para,stax2-api-4.2.1.jar,results/para/para-core/original/compile-scope-dependencies/dependency/stax2-api-4.2.1.jar,195909
para,flexmark-util-format-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-format-0.64.0.jar,109899
para,classmate-1.5.1.jar,results/para/para-core/original/compile-scope-dependencies/dependency/classmate-1.5.1.jar,67815
para,flexmark-util-dependency-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-util-dependency-0.64.0.jar,16418
para,flexmark-ext-emoji-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-ext-emoji-0.64.0.jar,72213
para,jmustache-1.15.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jmustache-1.15.jar,85888
para,jackson-jaxrs-base-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-jaxrs-base-2.14.0-rc2.jar,31882
para,jackson-annotations-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-annotations-2.14.0-rc2.jar,76104
para,jackson-datatype-jsr310-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-datatype-jsr310-2.14.0-rc2.jar,122038
para,snakeyaml-1.33.jar,results/para/para-core/original/compile-scope-dependencies/dependency/snakeyaml-1.33.jar,331715
para,hibernate-validator-6.2.5.Final.jar,results/para/para-core/original/compile-scope-dependencies/dependency/hibernate-validator-6.2.5.Final.jar,1320186
para,jackson-module-parameter-names-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-module-parameter-names-2.14.0-rc2.jar,9479
para,jboss-logging-3.4.1.Final.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jboss-logging-3.4.1.Final.jar,60790
para,http-client-spi-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/http-client-spi-2.18.32.jar,81298
para,jackson-jaxrs-json-provider-2.14.0-rc2.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jackson-jaxrs-json-provider-2.14.0-rc2.jar,16699
para,annotations-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/annotations-2.18.32.jar,13275
para,flexmark-ext-gfm-strikethrough-0.64.0.jar,results/para/para-core/original/compile-scope-dependencies/dependency/flexmark-ext-gfm-strikethrough-0.64.0.jar,23331
para,reactive-streams-1.0.3.jar,results/para/para-core/original/compile-scope-dependencies/dependency/reactive-streams-1.0.3.jar,11369
para,metrics-spi-2.18.32.jar,results/para/para-core/original/compile-scope-dependencies/dependency/metrics-spi-2.18.32.jar,27323
para,validation-api-2.0.1.Final.jar,results/para/para-core/original/compile-scope-dependencies/dependency/validation-api-2.0.1.Final.jar,93107
para,jBCrypt-0.4.3.jar,results/para/para-core/original/compile-scope-dependencies/dependency/jBCrypt-0.4.3.jar,17536
para,metrics-core-4.2.12.jar,results/para/para-core/original/compile-scope-dependencies/dependency/metrics-core-4.2.12.jar,126210
