Project,FilePath,Dependency,NA,RemovedTypes,TotalTypes
jacop,results/jacop/deptrim/deptrim.log,org.mockito:mockito-all:1.10.19,,749,752
jacop,results/jacop/deptrim/deptrim.log,org.scala-lang:scala-compiler:2.13.1,,2982,2984
jacop,results/jacop/deptrim/deptrim.log,org.scala-lang:scala-library:2.13.1,,1371,2829
jacop,results/jacop/deptrim/deptrim.log,org.scala-lang:scala-reflect:2.13.1,,1351,1418
spoon,results/spoon/deptrim/deptrim.log,javax.inject:javax.inject:1,,2,6
spoon,results/spoon/deptrim/deptrim.log,org.apache.maven:maven-api-meta:4.0.0-alpha-2,,3,10
spoon,results/spoon/deptrim/deptrim.log,org.slf4j:slf4j-api:1.7.36,,2,34
spoon,results/spoon/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-databind:2.13.4.2,,37,708
spoon,results/spoon/deptrim/deptrim.log,org.apache.maven:maven-xml-impl:4.0.0-alpha-2,,3,12
spoon,results/spoon/deptrim/deptrim.log,org.apache.maven.shared:maven-shared-utils:3.3.4,,59,79
spoon,results/spoon/deptrim/deptrim.log,org.codehaus.plexus:plexus-utils:3.0.24,,86,104
spoon,results/spoon/deptrim/deptrim.log,commons-io:commons-io:2.11.0,,140,201
spoon,results/spoon/deptrim/deptrim.log,org.eclipse.jdt:org.eclipse.jdt.core:3.31.0,,1412,2070
spoon,results/spoon/deptrim/deptrim.log,org.apache.commons:commons-lang3:3.12.0,,267,345
spoon,results/spoon/deptrim/deptrim.log,com.martiansoftware:jsap:2.1,,14,69
spoon,results/spoon/deptrim/deptrim.log,org.apache.commons:commons-compress:1.21,,229,524
spoon,results/spoon/deptrim/deptrim.log,org.apache.maven:maven-model:4.0.0-alpha-2,,14,72
spoon,results/spoon/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-core:2.13.4,,11,128
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-ext-gfm-strikethrough:0.64.0,,6,18
para,results/para/para-core/deptrim/deptrim.log,ch.qos.logback:logback-classic:1.2.11,,61,157
para,results/para/para-core/deptrim/deptrim.log,org.jsoup:jsoup:1.15.3,,9,266
para,results/para/para-core/deptrim/deptrim.log,software.amazon.awssdk:utils:2.18.32,,73,123
para,results/para/para-core/deptrim/deptrim.log,com.vladsch.flexmark:flexmark-ext-tables:0.64.0,,4,30
para,results/para/para-core/deptrim/deptrim.log,software.amazon.awssdk:metrics-spi:2.18.32,,6,16
para,results/para/para-core/deptrim/deptrim.log,jakarta.inject:jakarta.inject-api:1.0.5,,4,7
