Project,Dependency,DependencyJar,TotalOriginalClasses
helidon_openapi,io.helidon.common:helidon-common-service-loader:2.5.6,helidon-common-service-loader-2.5.6,6
helidon_openapi,jakarta.annotation:jakarta.annotation-api:1.3.5,jakarta.annotation-api-1.3.5,15
helidon_openapi,org.yaml:snakeyaml:1.32,snakeyaml-1.32,226
helidon_openapi,io.helidon.config:helidon-config:2.5.6,helidon-config-2.5.6,225
helidon_openapi,io.helidon.common:helidon-common-media-type:2.5.6,helidon-common-media-type-2.5.6,7
helidon_openapi,org.jboss:jandex:2.3.1.Final,jandex-2.3.1.Final,106
helidon_openapi,org.eclipse.microprofile.openapi:microprofile-openapi-api:1.2,microprofile-openapi-api-1.2,120
helidon_openapi,io.helidon.webserver:helidon-webserver-cors:2.5.6,helidon-webserver-cors-2.5.6,35
helidon_openapi,io.helidon.common:helidon-common-context:2.5.6,helidon-common-context-2.5.6,16
helidon_openapi,io.netty:netty-buffer:4.1.86.Final,netty-buffer-4.1.86.Final,137
classgraph,io.github.toolfactory:narcissus:1.0.7,narcissus-1.0.7,16
classgraph,io.github.toolfactory:jvm-driver:9.4.2,jvm-driver-9.4.2,208
modelmapper,org.ow2.asm:asm-tree:9.4,asm-tree-9.4,39
modelmapper,net.jodah:typetools:0.6.3,typetools-0.6.3,8
modelmapper,net.bytebuddy:byte-buddy-dep:1.12.3,byte-buddy-dep-1.12.3,2544
modelmapper,org.objenesis:objenesis:3.2,objenesis-3.2,43
modelmapper,org.ow2.asm:asm-commons:9.2,asm-commons-9.2,28
modelmapper,org.ow2.asm:asm:9.4,asm-9.4,38
jooby_jooby,org.jetbrains.kotlinx:kotlinx-coroutines-core:1.6.2,kotlinx-coroutines-core-1.6.2,0
jooby_jooby,org.jetbrains.kotlin:kotlin-reflect:1.6.21,kotlin-reflect-1.6.21,1865
jooby_jooby,com.github.vladimir-bukhtoyarov:bucket4j-core:6.4.1,bucket4j-core-6.4.1,93
jooby_jooby,org.slf4j:slf4j-api:1.7.36,slf4j-api-1.7.36,34
jooby_jooby,org.reactivestreams:reactive-streams:1.0.3,reactive-streams-1.0.3,13
jooby_jooby,org.ow2.asm:asm:9.3,asm-9.3,38
jooby_jooby,io.projectreactor:reactor-core:3.4.18,reactor-core-3.4.18,891
